Ch	Band	wavmin	wavmax
1	CONT 6.2	6.0	6.5
1	CONT 7.5	7.55	7.65
2	CONT 8.5	7.52	9.5
2	CONT 11.0	10.3	11.7
3	CONT 12.8	11.6	14.0
3	CONT 15.0	14.0	16.0
3	CONT 17.0	16.0	17.9
4	CONT 19.0	18.0	20.0
4	CONT 22.0	20.0	24.0
4	CONT 25.5	24.0	27.0
