band_name,co_ra,co_dec
f150w,-0.0003073663239552597,1.2128022751695013e-05
f210m,-0.0003053659360675272,1.1086664166398972e-05
f335m,-0.0003024592509930588,-3.876227233935886e-06
f444wm,-0.000303487898458688,-1.5339838430844972e-06
f444w-f470n,-0.00031195134983827216,4.49821742503292e-06
f770w,1.489123796320701e-07,5.765289877811292e-06
f1130w,3.84616508030993e-06,3.9046228126598836e-06
f1280w,1.0704947688954026e-06,5.059738298269191e-06
f090w,-0.0003016611698204873,1.3691554641131254e-05
